,epoch,dice_coef,iou,loss,val_dice_coef,val_iou,val_loss,training_time,test_loss,test_dice_coef,test_iou,testing_time,trainable_params
0,0,0.847050666809082,0.7439410090446472,0.1529495120048523,0.1492837369441986,0.0806664079427719,0.8507162928581238,76.34011235300022,0.03809129446744919,0.962165355682373,0.9275860786437988,6.56280982699991,8202053.0
1,1,0.9242905974388124,0.8595796823501587,0.0757092908024787,0.2545763850212097,0.1465900540351867,0.7454236149787903,53.65380988600009,0.03809129446744919,0.962165355682373,0.9275860786437988,6.56280982699991,8202053.0
2,2,0.9444536566734314,0.8948680758476257,0.0555462054908275,0.7888477444648743,0.6551052927970886,0.2111522853374481,53.747729832000005,0.03809129446744919,0.962165355682373,0.9275860786437988,6.56280982699991,8202053.0
3,3,0.9522125720977784,0.9089242815971376,0.047787208110094,0.9178531765937804,0.8488027453422546,0.0821469724178314,52.237364294000145,0.03809129446744919,0.962165355682373,0.9275860786437988,6.56280982699991,8202053.0
4,4,0.9593945145606996,0.9220679998397828,0.0406057238578796,0.959507942199707,0.9222509264945984,0.0404920913279056,53.74505649999992,0.03809129446744919,0.962165355682373,0.9275860786437988,6.56280982699991,8202053.0
5,5,0.9648867845535278,0.9322263598442078,0.0351131819188594,0.9579313397407532,0.9193936586380004,0.042068675160408,53.753084360000685,0.03809129446744919,0.962165355682373,0.9275860786437988,6.56280982699991,8202053.0
6,6,0.966808557510376,0.9358213543891908,0.033191230148077,0.9659178256988524,0.9341711401939392,0.0340822115540504,53.75647412200033,0.03809129446744919,0.962165355682373,0.9275860786437988,6.56280982699991,8202053.0
7,7,0.9698207378387452,0.9414653182029724,0.0301791206002235,0.9634113311767578,0.929490089416504,0.0365886054933071,53.747171912999875,0.03809129446744919,0.962165355682373,0.9275860786437988,6.56280982699991,8202053.0
8,8,0.968157172203064,0.938373327255249,0.031842827796936,0.9547979235649108,0.9136608242988586,0.0452021621167659,52.30357822499991,0.03809129446744919,0.962165355682373,0.9275860786437988,6.56280982699991,8202053.0
9,9,0.9711170792579652,0.9439181685447692,0.0288828965276479,0.9654117226600648,0.9332279562950134,0.034588299691677,52.21496436199959,0.03809129446744919,0.962165355682373,0.9275860786437988,6.56280982699991,8202053.0
